Epoch,Loss,MRR,Hit@1,Hit@10,Hit@30,Hit@50,Hit@100
182,0.2299,0.1770,0.0688,0.4050,0.6713,0.7987,0.9637
183,0.2091,0.1730,0.0638,0.4088,0.6687,0.8137,0.9688
184,0.1106,0.1742,0.0650,0.4062,0.6737,0.8075,0.9675
185,0.1581,0.1735,0.0650,0.4050,0.6750,0.8025,0.9650
186,0.1563,0.1734,0.0650,0.4000,0.6713,0.7975,0.9613
187,0.1911,0.1769,0.0688,0.4062,0.6737,0.8063,0.9663
188,0.1437,0.1724,0.0675,0.4025,0.6700,0.8025,0.9625
189,0.1126,0.1780,0.0712,0.3925,0.6737,0.8050,0.9675
190,0.1029,0.1727,0.0688,0.4037,0.6675,0.7975,0.9625
191,0.2115,0.1757,0.0688,0.4062,0.6687,0.8025,0.9663
192,0.1083,0.1782,0.0700,0.4088,0.6713,0.8100,0.9625
193,0.2472,0.1762,0.0688,0.3975,0.6687,0.8087,0.9625
194,0.1770,0.1775,0.0700,0.4050,0.6637,0.7963,0.9587
195,0.1453,0.1757,0.0712,0.4025,0.6587,0.8000,0.9575
196,0.1745,0.1767,0.0712,0.3987,0.6675,0.7913,0.9575
197,0.1362,0.1781,0.0675,0.3962,0.6713,0.8125,0.9587
198,0.2180,0.1727,0.0650,0.4062,0.6637,0.8100,0.9575
199,0.0960,0.1737,0.0663,0.3987,0.6700,0.7975,0.9575
