Epoch,Loss,MRR,Hit@1,Hit@10,Hit@30,Hit@50,Hit@100
183,0.1197,0.1895,0.0875,0.3950,0.6763,0.8275,0.9613
184,0.0785,0.1915,0.0912,0.4012,0.6763,0.8225,0.9613
185,0.2264,0.1945,0.1000,0.3862,0.6700,0.8187,0.9563
186,0.1211,0.1884,0.0875,0.3825,0.6787,0.8175,0.9587
187,0.2841,0.1866,0.0825,0.3925,0.6813,0.8213,0.9625
188,0.2587,0.1914,0.0950,0.3762,0.6725,0.8163,0.9563
189,0.1665,0.1870,0.0825,0.3900,0.6850,0.8275,0.9637
190,0.0842,0.1886,0.0875,0.3950,0.6750,0.8225,0.9613
191,0.2101,0.1867,0.0850,0.3962,0.6687,0.8237,0.9613
192,0.1088,0.1914,0.0875,0.3925,0.6825,0.8213,0.9587
193,0.1209,0.1943,0.0938,0.3937,0.6887,0.8263,0.9650
194,0.2039,0.1938,0.0950,0.3850,0.6675,0.8187,0.9587
195,0.1656,0.1926,0.0925,0.3837,0.6775,0.8225,0.9600
196,0.1138,0.1864,0.0862,0.3837,0.6737,0.8150,0.9625
197,0.1167,0.1895,0.0900,0.3887,0.6763,0.8200,0.9600
198,0.1517,0.1917,0.0887,0.4012,0.6813,0.8237,0.9600
199,0.1679,0.1876,0.0875,0.3875,0.6687,0.8125,0.9563
